***mlp_l5_iter_test Benchmarking***
Usage ./run_gpu_mlp_l5_iter_test.sh <typeofgpu> --> e.g: ./run_gpu_mlp_l5_iter_test.sh geforce_gtx_maxwell
**batch size 1**
****GPU Data (iter,time)****	
101 1.5089511871338 ms	
102 1.5108585357666 ms	
103 1.5301704406738 ms	
104 1.5370845794678 ms	
105 1.5180110931396 ms	
106 1.5170574188232 ms	
107 1.5339851379395 ms	
108 1.5389919281006 ms	
109 1.5280246734619 ms	
110 1.5199184417725 ms	
111 1.5318393707275 ms	
112 1.4619827270508 ms	
113 1.5380382537842 ms	
114 1.5199184417725 ms	
115 1.533031463623 ms	
116 1.5089511871338 ms	
117 1.5339851379395 ms	
118 1.5220642089844 ms	
119 1.5518665313721 ms	
120 1.5079975128174 ms	
121 1.5139579772949 ms	
122 1.4998912811279 ms	
123 1.5110969543457 ms	
124 1.5199184417725 ms	
125 1.5180110931396 ms	
126 1.4820098876953 ms	
127 1.4829635620117 ms	
128 1.5220642089844 ms	
129 1.5099048614502 ms	
130 1.554012298584 ms	
131 1.5268325805664 ms	
132 1.5010833740234 ms	
133 1.5289783477783 ms	
134 1.5180110931396 ms	
135 1.5308856964111 ms	
136 1.4770030975342 ms	
137 1.5149116516113 ms	
138 1.5161037445068 ms	
139 1.5401840209961 ms	
140 1.5192031860352 ms	
141 1.5537738800049 ms	
142 1.5430450439453 ms	
143 1.533031463623 ms	
144 1.5039443969727 ms	
145 1.5289783477783 ms	
146 1.4820098876953 ms	
147 1.5230178833008 ms	
148 1.5370845794678 ms	
149 1.478910446167 ms	
150 1.5110969543457 ms	
**batch size 128**
****GPU Data (iter,time)****	
1 69.434881210327 ms	
2 0.14305114746094 ms	
3 0.13303756713867 ms	
4 0.13017654418945 ms	
5 0.12922286987305 ms	
6 0.16021728515625 ms	
7 0.12993812561035 ms	
8 0.14686584472656 ms	
9 0.13208389282227 ms	
10 0.12803077697754 ms	
11 0.12803077697754 ms	
12 0.15401840209961 ms	
13 0.1370906829834 ms	
14 0.14710426330566 ms	
15 0.14305114746094 ms	
16 0.12707710266113 ms	
17 0.12803077697754 ms	
18 0.12803077697754 ms	
19 0.12493133544922 ms	
20 0.12588500976562 ms	
21 0.12683868408203 ms	
22 0.12588500976562 ms	
23 0.12302398681641 ms	
24 0.12612342834473 ms	
25 0.12421607971191 ms	
26 0.12493133544922 ms	
27 0.12707710266113 ms	
28 0.12516975402832 ms	
29 0.12588500976562 ms	
30 0.12683868408203 ms	
31 0.12516975402832 ms	
32 0.12516975402832 ms	
33 0.12898445129395 ms	
34 0.12683868408203 ms	
35 0.12493133544922 ms	
36 0.12493133544922 ms	
37 0.12397766113281 ms	
38 0.12397766113281 ms	
39 0.12588500976562 ms	
40 0.13899803161621 ms	
41 0.12397766113281 ms	
42 0.12397766113281 ms	
43 0.13017654418945 ms	
44 0.12493133544922 ms	
45 0.12588500976562 ms	
46 0.12993812561035 ms	
47 0.12612342834473 ms	
48 0.13089179992676 ms	
49 0.14519691467285 ms	
50 0.12612342834473 ms	
51 0.12588500976562 ms	
52 0.12707710266113 ms	
53 0.12683868408203 ms	
54 0.1220703125 ms	
55 0.12803077697754 ms	
56 0.12993812561035 ms	
57 0.12612342834473 ms	
58 0.12683868408203 ms	
59 0.12493133544922 ms	
60 0.12612342834473 ms	
61 0.12302398681641 ms	
62 0.12397766113281 ms	
63 0.12493133544922 ms	
64 0.12612342834473 ms	
65 0.12302398681641 ms	
66 0.12302398681641 ms	
67 0.12493133544922 ms	
68 0.12516975402832 ms	
69 0.12302398681641 ms	
70 0.12493133544922 ms	
71 0.1220703125 ms	
72 0.14710426330566 ms	
